"","Estimate","Stock","LL","UL","Param"
"TestlnSMSYo",335,"Artlish",167,672,"SMSY"
"TestlnSMSYo.1",528,"Bedwell/Ursus",274,1018,"SMSY"
"TestlnSMSYo.2",369,"Burman",185,734,"SMSY"
"TestlnSMSYo.3",259,"Cayeghle",126,533,"SMSY"
"TestlnSMSYo.4",101,"Conuma",44,230,"SMSY"
"TestlnSMSYo.5",203,"Cypre",96,429,"SMSY"
"TestlnSMSYo.6",4784,"Gold",2806,8154,"SMSY"
"TestlnSMSYo.7",535,"Kaouk",278,1029,"SMSY"
"TestlnSMSYo.8",582,"Leiner",305,1113,"SMSY"
"TestlnSMSYo.9",902,"Marble",488,1665,"SMSY"
"TestlnSMSYo.10",1332,"Megin",741,2395,"SMSY"
"TestlnSMSYo.11",617,"Moyeha",325,1174,"SMSY"
"TestlnSMSYo.12",218,"Nahmint",104,456,"SMSY"
"TestlnSMSYo.13",1953,"Nitinat",1110,3436,"SMSY"
"TestlnSMSYo.14",3402,"San Juan",1979,5849,"SMSY"
"TestlnSMSYo.15",446,"Sarita",228,873,"SMSY"
"TestlnSMSYo.16",5932,"Somass",3491,10080,"SMSY"
"TestlnSMSYo.17",407,"Tahsis",206,802,"SMSY"
"TestlnSMSYo.18",926,"Tahsish",503,1707,"SMSY"
"TestlnSMSYo.19",62,"Tranquil",26,149,"SMSY"
"TestlnSMSYo.20",1047,"Zeballos",573,1913,"SMSY"
"TestlnSMSYo.21",6656,"Barkley",3921,11299,"SMSY"
"TestlnSMSYo.22",2825,"Clayoquot",1632,4889,"SMSY"
"TestlnSMSYo.23",1838,"Kyuquot",1041,3243,"SMSY"
"TestlnSMSYo.24",7481,"Nootka/Esperanza",4409,12695,"SMSY"
"TestlnSMSYo.25",1175,"Quatsino",648,2129,"SMSY"
"TestlnSMSYo.26",9425,"WCVI Nootka & Kyuquot",5550,16006,"SMSY"
"TestlnSMSYo.27",1175,"WCVI North",648,2129,"SMSY"
"TestlnSMSYo.28",15275,"WCVI South",8920,26156,"SMSY"
"TestlnSREPo",975,"Artlish",467,2036,"SREP"
"TestlnSREPo.1",1534,"Bedwell/Ursus",768,3066,"SREP"
"TestlnSREPo.2",1074,"Burman",520,2220,"SREP"
"TestlnSREPo.3",756,"Cayeghle",353,1620,"SREP"
"TestlnSREPo.4",298,"Conuma",125,708,"SREP"
"TestlnSREPo.5",595,"Cypre",271,1308,"SREP"
"TestlnSREPo.6",13607,"Gold",7750,23892,"SREP"
"TestlnSREPo.7",1552,"Kaouk",777,3099,"SREP"
"TestlnSREPo.8",1689,"Leiner",852,3346,"SREP"
"TestlnSREPo.9",2604,"Marble",1363,4976,"SREP"
"TestlnSREPo.10",3834,"Megin",2064,7123,"SREP"
"TestlnSREPo.11",1790,"Moyeha",908,3528,"SREP"
"TestlnSREPo.12",637,"Nahmint",292,1390,"SREP"
"TestlnSREPo.13",5601,"Nitinat",3085,10169,"SREP"
"TestlnSREPo.14",9707,"San Juan",5479,17201,"SREP"
"TestlnSREPo.15",1298,"Sarita",639,2634,"SREP"
"TestlnSREPo.16",16840,"Somass",9623,29470,"SREP"
"TestlnSREPo.17",1184,"Tahsis",578,2424,"SREP"
"TestlnSREPo.18",2675,"Tahsish",1403,5100,"SREP"
"TestlnSREPo.19",183,"Tranquil",73,462,"SREP"
"TestlnSREPo.20",3020,"Zeballos",1598,5705,"SREP"
"TestlnSREPo.21",18876,"Barkley",10797,32999,"SREP"
"TestlnSREPo.22",8074,"Clayoquot",4525,14405,"SREP"
"TestlnSREPo.23",5273,"Kyuquot",2895,9606,"SREP"
"TestlnSREPo.24",21193,"Nootka/Esperanza",12128,37033,"SREP"
"TestlnSREPo.25",3384,"Quatsino",1806,6342,"SREP"
"TestlnSREPo.26",26643,"WCVI Nootka & Kyuquot",15235,46595,"SREP"
"TestlnSREPo.27",3384,"WCVI North",1806,6342,"SREP"
"TestlnSREPo.28",42987,"WCVI South",24365,75840,"SREP"
